Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-01-04 00:00:00-05:00,29.09099373670853,30.0165341502209,28.918588742651163,29.943941116333008,5671979,0.0,0.0,0.0
2010-01-05 00:00:00-05:00,29.88949623522463,30.034678841060657,29.272469295064926,29.517465591430664,4573540,0.0,0.0,0.0
2010-01-06 00:00:00-05:00,29.490237701546107,29.717085683865694,29.263389719226524,29.399499893188477,4303032,0.0,0.0,0.0
2010-01-07 00:00:00-05:00,28.954879674617096,30.443002056967,28.809697087593346,30.334115982055664,6181624,0.0,0.0,0.0
2010-01-08 00:00:00-05:00,30.252456692614274,30.27967735150319,29.526543610354732,29.67172622680664,5226497,0.0,0.0,0.0
2010-01-11 00:00:00-05:00,29.73523991228321,30.12541879718242,29.580981453370722,29.708019256591797,3674088,0.0,0.0,0.0
2010-01-12 00:00:00-05:00,29.608200736204804,29.72615919922538,27.50304992722819,27.7752685546875,19543279,0.0,0.0,0.0
2010-01-13 00:00:00-05:00,27.6754575899946,28.210819039208914,26.876953345633062,27.902305603027344,10466216,0.0,0.0,0.0
2010-01-14 00:00:00-05:00,27.611942507993426,28.52840875752554,27.593794250209474,28.50118637084961,6630386,0.0,0.0,0.0
2010-01-15 00:00:00-05:00,28.356004486648317,29.04562099273602,28.08378753586176,28.45581817626953,9794030,0.0,0.0,0.0
2010-01-19 00:00:00-05:00,29.30876386088419,30.170787040027342,29.218026036311702,29.635425567626953,13045071,0.0,0.0,0.0
2010-01-20 00:00:00-05:00,30.03467763178726,30.533746064342036,29.081916603009795,29.472095489501953,11007715,0.0,0.0,0.0
2010-01-21 00:00:00-05:00,29.56283299615999,29.735236229899023,28.628216883191076,28.927656173706055,7837717,0.0,0.0,0.0
2010-01-22 00:00:00-05:00,28.746182887329788,29.31784089707718,28.283412694438656,28.4013729095459,7000038,0.0,0.0,0.0
2010-01-25 00:00:00-05:00,28.791554633008765,28.84599941214796,27.99305024348025,28.10193634033203,5431627,0.0,0.0,0.0
2010-01-26 00:00:00-05:00,27.983978144788722,27.983978144788722,27.376025245980347,27.675464630126953,7576917,0.0,0.0,0.0
2010-01-27 00:00:00-05:00,27.475837616268073,28.20175071508475,27.276210216058477,27.61194610595703,6254934,0.0,0.0,0.0
