Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,25.850954924126324,25.984452446432723,25.01182296422723,25.11194610595703,2533400,0.0,0.0
2010-01-05 00:00:00-05:00,25.030894256899387,25.159624788472662,24.873556334276284,25.05950164794922,1288600,0.0,0.0
2010-01-06 00:00:00-05:00,25.08810685746694,25.15008862779502,24.811576023053018,24.96891212463379,1628200,0.0,0.0
2010-01-07 00:00:00-05:00,24.968911030600044,24.98321563467501,24.687611400688493,24.811574935913086,2467800,0.0,0.0
2010-01-08 00:00:00-05:00,23.457519251061452,23.7149802607189,22.999812001959505,23.34786033630371,6437000,0.0,0.0
2010-01-11 00:00:00-05:00,23.328791125377606,23.347862717393568,22.59455120166709,22.7995662689209,4421000,0.0,0.0
2010-01-12 00:00:00-05:00,22.74236146649093,22.813877234043908,22.50397193711213,22.77573585510254,2311200,0.0,0.0
2010-01-13 00:00:00-05:00,22.7614273318314,22.880622066496112,22.546876445681452,22.794801712036133,2179600,0.0,0.0
2010-01-14 00:00:00-05:00,22.675605283872684,22.8472441612067,22.384769862008685,22.399072647094727,2981600,0.0,0.0
2010-01-15 00:00:00-05:00,22.408605991586164,22.50396212551652,22.122539408562066,22.160680770874023,2340800,0.0,0.0
2010-01-19 00:00:00-05:00,22.20360018116264,22.322794943491733,22.074869619595084,22.294187545776367,2058600,0.0,0.0
2010-01-20 00:00:00-05:00,22.12254632433395,22.289418246802995,21.912762400352808,22.26081085205078,2188000,0.0,0.0
2010-01-21 00:00:00-05:00,22.29894805619519,22.418142774165805,21.81740037708434,21.86984634399414,3046800,0.0,0.0
2010-01-22 00:00:00-05:00,21.87462283995424,21.979512991874724,21.63623332022125,21.645769119262695,2421200,0.0,0.0
2010-01-25 00:00:00-05:00,21.84125332304467,21.84125332304467,21.40738437313348,21.598094940185547,2003600,0.0,0.0
2010-01-26 00:00:00-05:00,21.512264209139325,21.736350881961446,21.407374084242207,21.56947898864746,1948000,0.0,0.0
